,Общая сумма покупки,Сумма выплат,Индекс,PNC,Серийный номер,Цена,PNC.1,Серийный номер.1,Цена.1,PNC.2,Серийный номер.2,Цена.2,PNC.3,Серийный номер.3,Цена.3
count,2253.0,2253.0,1452.0,1540.0,1374.0,2247.0,1406.0,1297.0,1529.0,1390.0,1279.0,1486.0,1042.0,965.0,1125.0
mean,92126.4837993786,19621.916555703505,334698.1921487603,92282927872.21039,87349044.35007279,26798.118825100133,93679074514.25604,89230473.86584425,35823.26814911707,93819733700.97697,89885986.6708366,35414.137954239566,93378519793.46832,89868589.90259068,35507.919111111114
std,74161.32746618886,17527.31944140916,196191.78802917566,1840189029.8430514,22977489.932926968,23035.861003477676,1785466646.7970078,19277497.043127984,18620.508082453885,1715697397.4378343,18033020.2271409,18702.207388627136,2166544833.3526607,18582697.36951715,17954.310688781326
min,0.0,0.0,105043.0,61152570000.0,0.0,0.0,61043816000.0,0.0,0.0,61152570000.0,0.0,0.0,61043806000.0,0.0,0.0
25%,0.0,0.0,142000.75,91153645400.0,93428494.25,0.0,91521262952.25,93318953.0,25860.0,92550305300.0,93435014.5,25017.75,91460070400.0,93700052.0,23999.0
50%,117826.0,20000.0,344020.5,91153645600.0,94217636.0,31491.0,94418491300.0,94208912.0,35610.0,94418491600.0,94300010.0,33990.0,94406804450.0,94322692.0,32993.0
75%,141363.0,39591.0,450505.75,94418490400.0,94828931.25,40491.0,94949904100.0,94757096.0,43191.0,94949904100.0,94725067.5,42834.5,94949623175.0,94800086.0,43191.0
max,1151395.0,40000.0,693012.0,94973870700.0,95200025.0,335665.0,94973870700.0,97416527.0,390915.0,94973870700.0,95175498.0,424815.0,94973870700.0,95200040.0,215910.0
